Combined Text,biffi,crosby,anderson_greenwood,fisher,asco,keystone,rosemount,micro_motion,pneumatic_actuator,electric_actuator,globe_valve,garlock_kit,transmitter,tyco_valve,gas chromatograph,daniel,fisher_actuator,dvc_positioner,valve_relief,ph_sensor_rosemount,temperature_detector,mr95h,groveley_detection,rosemount_0096,trex_field_communicator_375,generic_fisher,3025_actuator_spare,rosemount_manifold,fisher_spare_25032500,Prediction
"thrmowl:flg,1-1/2in,375mm insertion lg,1 thermowell: flanged,1-1/2in,375mm insertion lg,1/2in npt,w/ material certification,80mm,class 900/1500,rf,tapered thermowell:flg,375mm insertion lg,1-1/2in,class 900/1500,rf,1/2in anpt,tapered,80mm lagging lg emerson 0096a0375f64t080dq8r",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,1-1/2in,375mm insertion thermowell: barstock,1-1/2in,375mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 900/1500,flange face: raised                                                   face,grade: 316,lagging length: 80mm,nace standard: nace mr0175,shank style: taper e d , w /  m a t e r i a l  c e r t i f i c a t i o n / e x t e r n a l  p r e s s u r e  t e sting and full penetration weld thermowell:flg,375mm insertion lg,1-1/2in,900/1500lb,rf,1/2in anpt,tapered,flg,80mm lapping lg,w/ material certification,external pr                                                  essure testing,nace approval & full penetration weld std emerson 0096a0375f64t080dq8r01r05r07r0",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,1-1/2in,450mm insertion thermowell: barstock,1-1/2in,450mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 150,flange face: raised face                                                  ,grade: 316,lagging length: 80mm,nace standard: nace mr0175,shank style: tapered,w/  m a t e r i a l  c e r t i f i c a t i o n / e x t e r n a l  p r e s s u r e  t e s t i n g  and full penetration weld thermowell:flg,450mm insertion lg,1-1/2in,150lb,rf,1/2in anpt,tapered,flg,80mm lapping lg,w/ material certification,external pressur                                                  e testing,nace approval & full penetration weld std emerson 0096a0450f10t080dq8r01r03r05r0",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,2in,450mm insertion lg thermowell: barstock,2in,450mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 150,flange face: raised face,gra                                                  de: 316,lagging length: 80mm,nace standard: nace mr0175,shank style: tapered,w/ mat e r i a l  c e r t i f i c a t i o n / e x t e r n a l  p r e s s u r e  t e s t i n g  a n d  full penetration weld thermowell:flg,450mm insertion lg,2in,150lb,rf,1/2in anpt,tapered,flg,80mm lapping lg,w/ material certification,external pressure te                                                  sting,nace approval & full penetration weld std emerson 0096a0450f16t080dq8r01r03r05r0",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,2in,450mm insertion lg thermowell: barstock,2in,450mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 900/1500,flange face: raised fac                                                  e,grade: 316,lagging length: 80mm,shank style: tapered thermowell:bar stock,450mm insertion lg,2in,class 900/1500,rf,1/2in anpt,tapered,80mm lagging lg emerson 0096a0450f70t080dq8r01r05r07r0",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:flg,1-1/2in,450mm,1/2in npt,wake thermowell: flanged,1-1/2in,450mm,1/2in npt,wake frequency, full penetration weld, external pressure test, dye penetration test, nac                                                  e approval, ring jont flange face, w/ material certification,80mm,class 900/1500,rf , t a p e r e d thermowell:flg,450mm insertion lg,1-1/2in,class 900/1500,rf,1/2in anpt,tapered,80mm lagging lg emerson 0096a0450f70t080dq8r01r05r07r03r16r21",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
thermowell: thermowell: thermowell: emerson 0096d0220f46t080dq8r01r03r05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,temp,1-1/2in,225mm inse thermowell: barstock,temperature,1-1/2in,225mm insertion lg,1/2in npt,stainless steel,rosemount,flange face: raised face,grade: 316l                                                  /1.4404,lagging length: 80mm,shank style: tapered thermowell:temperature,225mm insertion lg,1.4404 aisi 316l,rf,1/2in anpt,tapered,80mm lapping lg emerson 0096d0225f46t080d",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"transmitter,pres:coplanar gauge,4 to 20m transmitter,pressure: coplanar gauge,4 to 20ma output,-300 to 300 psi,aluminum,alloy c276,cable entry detail: m20 x 1.5 cable entry,                                                  communication protocol: hart,filling: silicone fill fluid,wetted parts material: gl a s s  f i l l e d  t e f l o n  o - r i n g transmitter,pressure:coplanar gauge,-300 to 300psi,4 to 20ma hart protocol output,m20 x 1.5 cable entry,alloy c276 diaphragm,glass f                                                  illed teflon o-ring,alum housing,silicone fill fluid man energy solutions 000 010 357 102",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,talib
"kit:spare,temperature transmitter 644,2 kit: spare,temperature transmitter 644,500/600v 4-20ma 12 circuit 4mm2 wire,316-stainless steel trim block 1/2x1/2in npt standard co                                                  ver connecting head,2 x spring, din plate assembly, 2 x 13mmxm4 screw, terminal blo c k kit:spare,block terminal,model 644 transmitter,connecting hd,500/600v,4 to 20ma,12 circuit,4mm2 wire,316 ss trim block,1/2 x 1/2in n                                                  pt,std cover,w/ din plate assy w/ terminal block (2)13mm x m4 screw & (2)spring rosemount 00075-0003-3001",False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,talib
